A,B
NaN,-0.348793264026256
-1.3918359086635,-1.31456490974551
-1.67577106063771,-1.59891665137388
-1.75116502357309,-1.61709276927769
-1.81945413089085,-1.61492406982228
-1.8648971831106,-1.59303061192583
-1.90210131136325,-1.55251764231497
-1.93274865549273,-1.49589981843201
-1.95282149000798,-1.42764338335599
-1.94808414757347,-1.35470347742518
-1.88512547875956,-1.28641335154197
-1.23306558042225,-1.23196956714605
-1.1888248956102,-1.18808084855982
-1.14957615868758,-1.14914621225194
-1.11366233038956,-1.11352414504137
