       layer          lai          sun          sha          sun          sha
           1       0.0250   183.769348    59.385906     8.923815     4.046033
           2       0.0750   182.049240    57.665783     8.904988     4.027205
           3       0.1250   180.398834    56.015404     8.882613     4.004831
           4       0.1750   178.816208    54.432762     8.856857     3.979075
           5       0.2250   177.299393    52.915943     8.827874     3.950092
           6       0.2750   175.846603    51.463150     8.795814     3.918031
           7       0.3250   174.456085    50.072632     8.760817     3.883035
           8       0.3750   173.126190    48.742733     8.723022     3.845241
           9       0.4250   171.855362    47.471909     8.682557     3.804775
          10       0.4750   170.642105    46.258671     8.639544     3.761763
          11       0.5250   169.485062    45.101616     8.594101     3.716319
          12       0.5750   168.382858    43.999424     8.546338     3.668556
          13       0.6250   167.334290    42.950851     8.496363     3.618581
          14       0.6750   166.338120    41.954693     8.444273     3.566491
          15       0.7250   165.393295    41.009853     8.390163     3.512382
          16       0.7750   164.498749    40.115303     8.334126     3.456343
          17       0.8250   163.653503    39.270042     8.276241     3.398460
          18       0.8750   162.856628    38.473190     8.216595     3.338813
          19       0.9250   162.107376    37.723934     8.155258     3.277476
          20       0.9750   161.404938    37.021484     8.092304     3.214522
